State,District,Num Delegates,Climate Change,Abortion,Taxes-Government Spending,Gun Control,Healthcare,Regulation,Trade,CC,Abortion,T&GS
Alabama, Northern Alabama,2,-1,-1,-1,,,,,-2,-2,-2
Alabama, Central Alabama,3,-1,-1,-1,,,,,-3,-3,-3
Alabama, Southern Alabama,2,-1,-1,-1,,,,,-2,-2,-2
Alaska, At-Large ,1,1,1,-1,,,,,1,1,-1
Arizona, Phoenix ,5,0,-1,-1,,,,,0,-5,-5
Arizona, Southern Arizona ,2,1,0,1,,,,,2,0,2
Arizona, Northern Arizona ,2,1,-1,0,,,,,2,-2,0
Arkansas, At-Large ,4,-1,-1,0,,,,,-4,-4,0
California, San Diego ,5,1,0,1,,,,,5,0,5
California, Orange County and the Inland Empire ,7,0,0,-1,,,,,0,0,-7
California, Los Angeles ,15,1,1,1,,,,,15,15,15
California, Central Coast ,4,1,0,1,,,,,4,0,4
California, Bay Area ,8,1,1,1,,,,,8,8,8
California, Central Valley ,8,0,0,0,,,,,0,0,0
California, Northern California and the Sierras ,6,0,1,1,,,,,0,6,6
Colorado, Denver and the Northern Front Range ,4,1,1,0,,,,,4,4,0
Colorado, The Rest of Colorado ,3,-1,-1,0,,,,,-3,-3,0
Connecticut, New York Suburbs ,2,1,1,1,,,,,2,2,2
Connecticut, North-East Connecticut ,3,1,1,1,,,,,3,3,3
Delaware, At-Large ,1,0,1,-1,,,,,0,1,-1
DC, At-Large ,1,1,1,1,,,,,1,1,1
Florida, The Panhandle ,4,-1,-1,-1,,,,,-4,-4,-4
Florida, Jacksonville and Daytona Beach ,3,-1,-1,-1,,,,,-3,-3,-3
Florida, Orlando and the mid-coast ,4,0,1,-1,,,,,0,4,-4
Florida, Tampa and St. Petersburg ,5,0,0,-1,,,,,0,0,-5
Florida, Miami and West Palm Beach ,7,1,1,0,,,,,7,7,0
Florida, Southwest Florida ,4,0,0,-1,,,,,0,0,-4
Georgia, Atlanta ,6,1,0,0,,,,,6,0,0
Georgia, Northern Georgia ,4,-1,-1,-1,,,,,-4,-4,-4
Georgia, Southern Georgia ,4,-1,-1,-1,,,,,-4,-4,-4
Hawaii, At-Large ,2,1,1,1,,,,,2,2,2
Idaho, At-Large ,2,-1,-1,-1,,,,,-2,-2,-2
Illinois, Chicago ,4,1,1,1,,,,,4,4,4
Illinois, Chicago Suburbs ,8,1,0,1,,,,,8,0,8
Illinois, Southern Illinois ,3,-1,-1,0,,,,,-3,-3,0
Illinois, Northern Illinois ,3,0,0,0,,,,,0,0,0
Indiana, Northern Indiana,3,0,-1,1,,,,,0,-3,3
Indiana, Central Indiana,3,-1,-1,0,,,,,-3,-3,0
Indiana, Southern Indiana,3,-1,-1,-1,,,,,-3,-3,-3
Iowa, At-Large ,4,0,0,1,,,,,0,0,4
Kansas, At-Large ,4,-1,-1,0,,,,,-4,-4,0
Kentucky, Louisville and Lexington ,3,-1,-1,-1,,,,,-3,-3,-3
Kentucky, Southern Kentucky ,3,-1,-1,-1,,,,,-3,-3,-3
Louisiana, North and Western Louisiana ,3,-1,-1,-1,,,,,-3,-3,-3
Louisiana, New Orleans ,3,0,-1,-1,,,,,0,-3,-3
Maine, At-Large,2,1,1,1,,,,,2,2,2
Maryland, Balitmore ,3,1,1,1,,,,,3,3,3
Maryland, DC Suburbs and Annapolis ,2,1,1,1,,,,,2,2,2
Maryland, Northern Maryland ,3,1,0,-1,,,,,3,0,-3
Massachusetts, Boston ,4,1,1,1,,,,,4,4,4
Massachusetts, Southeast Massachusetts ,3,1,1,1,,,,,3,3,3
Massachusetts, Western Massachusetts ,3,1,1,1,,,,,3,3,3
Michigan, Detroit ,5,0,1,1,,,,,0,5,5
Michigan, Southwest Michigan ,4,-1,-1,-1,,,,,-4,-4,-4
Michigan, Central Michigan ,4,-1,0,-1,,,,,-4,0,-4
Michigan, Northern Michigan ,1,-1,-1,-1,,,,,-1,-1,-1
Minnesota, Twin Cities ,4,1,1,1,,,,,4,4,4
Minnesota, Southern Minnesota ,2,0,-1,1,,,,,0,-2,2
Minnesota, Northern Minnesota ,2,0,-1,1,,,,,0,-2,2
Mississippi, At-Large ,4,0,-1,0,,,,,0,-4,0
Missouri, Kansas City and Northern Missouri ,2,0,-1,-1,,,,,0,-2,-2
Missouri, Southern Missouri ,3,-1,-1,-1,,,,,-3,-3,-3
Missouri, St. Louis ,3,-1,0,-1,,,,,-3,0,-3
Montana, At-Large ,1,0,0,-1,,,,,0,0,-1
Nebraska, At-Large ,3,-1,0,1,,,,,-3,0,3
Nevada, At-Large ,4,0,1,-1,,,,,0,4,-4
New Hampshire, At-Large ,2,1,1,-1,,,,,2,2,-2
New Jersey, Newark ,5,1,1,1,,,,,5,5,5
New Jersey, Cental New Jersey ,4,1,1,1,,,,,4,4,4
New Jersey, Southern New Jersey ,3,1,0,1,,,,,3,0,3
New Mexico, At-Large ,3,1,0,0,,,,,3,0,0
New York, New York ,11,1,1,1,,,,,11,11,11
New York, Long Island ,4,1,1,1,,,,,4,4,4
New York, Hudson Valley ,5,0,1,1,,,,,0,5,5
New York, Upstate ,4,0,0,0,,,,,0,0,0
New York, Buffalo and Rochester ,3,0,0,1,,,,,0,0,3
North Carolina, Western North Carolina ,3,-1,-1,-1,,,,,-3,-3,-3
North Carolina, Raleigh-Durham ,4,0,1,1,,,,,0,4,4
North Carolina, Charlotte ,3,-1,0,1,,,,,-3,0,3
North Carolina, The Coast ,3,-1,-1,-1,,,,,-3,-3,-3
North Dakota, At-Large ,1,-1,-1,-1,,,,,-1,-1,-1
Ohio, Toledo and the Northwest ,3,-1,-1,0,,,,,-3,-3,0
Ohio, Cleveland and the Northeast ,5,0,1,1,,,,,0,5,5
Ohio, Columbus and the Southeast ,4,-1,-1,1,,,,,-4,-4,4
Ohio, Cincinnati and Dayton ,4,-1,-1,0,,,,,-4,-4,0
Oklahoma, At-Large,5,-1,0,-1,,,,,-5,0,-5
Oregon, Portland and Salem,3,1,1,-1,,,,,3,3,-3
Oregon, Southern and Eastern Oregon,2,0,0,-1,,,,,0,0,-2
Pennsylvania, Central Pennsylvania ,4,-1,-1,-1,,,,,-4,-4,-4
Pennsylvania, Philadelphia ,6,1,1,0,,,,,6,6,0
Pennsylvania, Pittsburg ,4,0,0,1,,,,,0,0,4
Pennsylvania, Northeast Pennsylvania ,4,0,-1,0,,,,,0,-4,0
Rhode Island, At-Large ,2,1,1,1,,,,,2,2,2
South Carolina, Inland South Carolina ,4,0,-1,-1,,,,,0,-4,-4
South Carolina, Coastal South Carolina ,3,1,-1,-1,,,,,3,-3,-3
South Dakota, At-Large ,1,-1,-1,-1,,,,,-1,-1,-1
Tennessee, Central Tennessee,4,-1,-1,-1,,,,,-4,-4,-4
Tennessee, Eastern Tennessee,3,-1,-1,-1,,,,,-3,-3,-3
Tennessee, Memphis and Western Tennessee,2,-1,-1,-1,,,,,-2,-2,-2
Texas, West Texas ,5,-1,-1,-1,,,,,-5,-5,-5
Texas, South Texas ,4,0,-1,-1,,,,,0,-4,-4
Texas, East Texas ,6,-1,-1,-1,,,,,-6,-6,-6
Texas, Houston ,8,-1,1,0,,,,,-8,8,0
Texas, Dallas-Fort Worth ,8,-1,0,-1,,,,,-8,0,-8
Texas, San Antonio and Austin ,5,0,-1,-1,,,,,0,-5,-5
Utah, At-Large ,4,-1,-1,0,,,,,-4,-4,0
Vermont, At-Large ,1,1,1,1,,,,,1,1,1
Virginia, DC Suburbs ,3,1,1,1,,,,,3,3,3
Virginia, Virginia Coast ,5,0,0,-1,,,,,0,0,-5
Virginia, Western Virginia ,3,-1,-1,-1,,,,,-3,-3,-3
Washington, Seattle,5,1,1,1,,,,,5,5,5
Washington, Central Washington,3,0,1,-1,,,,,0,3,-3
Washington, Eastern Washington,2,-1,-1,-1,,,,,-2,-2,-2
West Virginia, At-Large ,3,-1,-1,1,,,,,-3,-3,3
Wisconsin, Milwaukee ,3,1,1,1,,,,,3,3,3
Wisconsin, Northern Wisconsin ,2,-1,-1,-1,,,,,-2,-2,-2
Wisconsin, Central Wisconsin ,3,-1,0,1,,,,,-3,0,3
Wyoming, At-Large ,1,-1,0,-1,,,,,-1,-1,-1
,,,,,,,,,,,,
Sum,,,,,,,,,,0,0,0
